Date,Garage A,Garage B,Garage C,Garage D,Garage H,Garage I
19-02-2025 16:39,880,379,1317,790,607,731
19-02-2025 16:45,892,396,1346,806,620,742
19-02-2025 16:50,901,421,1411,816,629,761
19-02-2025 16:55,906,436,1444,824,643,784
19-02-2025 17:00,924,466,1483,837,672,816
19-02-2025 17:05,935,469,1487,858,705,839
19-02-2025 17:10,955,502,1544,884,750,886
19-02-2025 17:15,972,511,1586,892,761,910
19-02-2025 17:21,985,496,1630,915,776,926
19-02-2025 17:26,991,495,1661,928,794,930
19-02-2025 17:31,994,507,1693,942,819,942
19-02-2025 17:36,993,522,1707,951,836,948
19-02-2025 17:41,992,532,1724,954,838,963
19-02-2025 17:46,981,551,1730,968,840,963
19-02-2025 17:52,982,555,1716,976,838,980
19-02-2025 17:57,971,573,1722,988,870,998
19-02-2025 18:01,988,591,1749,1003,866,1019
19-02-2025 18:06,999,613,1802,1027,873,1043
19-02-2025 18:11,1013,640,1837,1037,877,1057
19-02-2025 18:17,1029,666,1837,1050,884,1069
19-02-2025 18:22,1034,679,1837,1072,900,1073
19-02-2025 18:27,1041,683,1837,1096,927,1079
19-02-2025 18:32,1052,696,1837,1103,929,1087
19-02-2025 18:37,1070,713,1837,1106,954,1103
19-02-2025 18:42,1070,721,1837,1112,956,1109
19-02-2025 18:48,1077,725,1837,1119,965,1116
19-02-2025 18:53,1078,720,1837,1125,981,1133
19-02-2025 18:58,1081,725,1837,1136,990,1140
19-02-2025 19:03,1078,733,1837,1141,1001,1151
19-02-2025 19:08,1083,755,1837,1147,1020,1158
19-02-2025 19:13,1092,771,1837,1157,1062,1178
19-02-2025 19:18,1103,780,1837,1166,1088,1192
19-02-2025 19:24,1103,803,1837,1171,1137,1200
19-02-2025 19:29,1116,836,1837,1176,1161,1214
19-02-2025 19:34,1126,862,1837,1194,1191,1222
19-02-2025 19:39,1141,901,1837,1206,1215,1265
19-02-2025 19:44,1157,895,1837,1210,1240,1270
19-02-2025 19:49,1164,903,1837,1215,1251,1270
19-02-2025 19:55,1193,932,1837,1220,1247,1270
19-02-2025 20:00,1210,942,1837,1224,1250,1270
19-02-2025 20:05,1214,949,1837,1223,1252,1270
19-02-2025 20:10,1226,959,1837,1235,1265,1270
19-02-2025 20:15,1235,964,1837,1239,1278,1270
19-02-2025 20:20,1237,990,1837,1248,1297,1270
19-02-2025 20:25,1249,1011,1837,1256,1308,1270
19-02-2025 20:31,1254,1021,1837,1257,1327,1270
19-02-2025 20:36,1271,1048,1837,1260,1340,1270
19-02-2025 20:40,1273,1056,1837,1265,1340,1270
19-02-2025 20:45,1298,1072,1837,1272,1340,1270
19-02-2025 20:51,1321,1088,1837,1276,1340,1270
19-02-2025 20:56,1334,1112,1837,1276,1340,1270
19-02-2025 21:01,1334,1140,1837,1279,1340,1270
19-02-2025 21:06,1336,1166,1837,1279,1340,1270
19-02-2025 21:11,1342,1195,1837,1279,1340,1270
19-02-2025 21:16,1345,1211,1837,1279,1340,1270
